Analog Value:  80 | Relative Humidity:  73.7% | Digital State: Wet
Analog Value:  85 | Relative Humidity:  71.1% | Digital State: Wet
Analog Value:  90 | Relative Humidity:  68.4% | Digital State: Wet
Analog Value:  92 | Relative Humidity:  67.4% | Digital State: Wet
Analog Value:  95 | Relative Humidity:  65.8% | Digital State: Wet
Analog Value:  97 | Relative Humidity:  64.7% | Digital State: Wet
Analog Value: 100 | Relative Humidity:  63.2% | Digital State: Wet
Analog Value: 102 | Relative Humidity:  62.1% | Digital State: Wet
Analog Value: 104 | Relative Humidity:  61.1% | Digital State: Wet
Analog Value: 106 | Relative Humidity:  60.0% | Digital State: Wet
Analog Value: 108 | Relative Humidity:  59.0% | Digital State: Wet
Analog Value: 110 | Relative Humidity:  57.9% | Digital State: Wet
Analog Value: 112 | Relative Humidity:  56.8% | Digital State: Wet
Analog Value: 114 | Relative Humidity:  55.8% | Digital State: Wet
Analog Value: 116 | Relative Humidity:  54.7% | Digital State: Wet
Analog Value: 118 | Relative Humidity:  53.7% | Digital State: Dry
Analog Value: 120 | Relative Humidity:  52.6% | Digital State: Dry
Analog Value: 122 | Relative Humidity:  51.6% | Digital State: Dry
Analog Value: 124 | Relative Humidity:  50.5% | Digital State: Dry
Analog Value: 126 | Relative Humidity:  49.5% | Digital State: Dry
